0,1,2,3,4,5,6
4.0,1.0,47.0,15.0,12.0,1.309,0.6
4.0,1.0,48.0,39.0,242.426,0.833901,0.875
4.0,1.0,49.0,9.0,8.0,176.715,1.0
4.0,1.0,50.0,43.0,222.426,109.221,133.333
4.0,1.0,51.0,15.0,12.0,1.309,0.6
4.0,1.0,52.0,18.0,14.0,115.405,2.0
4.0,1.0,53.0,79.0,347.279,0.823151,1.0
4.0,1.0,54.0,28.0,168.284,124.246,0.833333
4.0,1.0,55.0,9.0,8.0,176.715,1.0
4.0,1.0,56.0,48.0,322.426,0.580216,111.111
4.0,1.0,57.0,9.0,8.0,176.715,1.0
4.0,1.0,58.0,63.0,284.853,0.975684,0.8
4.0,1.0,59.0,15.0,12.0,1.309,166.667
4.0,1.0,60.0,9.0,8.0,176.715,1.0
4.0,1.0,61.0,59.0,342.426,0.632306,0.666667
4.0,1.0,62.0,151.0,585.269,0.553956,123.529
4.0,1.0,63.0,36.0,20.0,113.097,1.0
4.0,1.0,64.0,40.0,236.569,0.898164,1.5
4.0,1.0,65.0,29.0,174.142,120.171,0.833333
4.0,1.0,66.0,15.0,12.0,1.309,0.6
4.0,1.0,67.0,22.0,148.284,125.731,1.5
4.0,1.0,68.0,32.0,202.426,0.981354,0.857143
4.0,1.0,69.0,32.0,202.426,0.981354,116.667
